trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.4099067014832705, 'e': 0.3325606647450246}",25,10,25.640824711694158,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.4158076344684378, 'e': 0.319204391612813}",25,8,7.909601486471054,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
44,False,"{'a': 0.42164955812375343, 'e': 0.30620378985965563}",30,6,16.06940134776363,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 0}",1
45,False,"{'a': 0.4274330625425159, 'e': 0.29356113218396945}",25,13,19.338490396655214,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.43315873191709076, 'e': 0.28127774517186277}",20,10,6.039532838401748,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.4388271445979198, 'e': 0.2693540607067106}",30,17,-44.05271411937105,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
48,False,"{'a': 0.44443887315194064, 'e': 0.2577896675821495}",25,8,10.76374718324607,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
49,False,"{'a': 0.4499944844204212, 'e': 0.24658336306490847}",25,15,8.875596071677124,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.455494539576217, 'e': 0.23573320417247834}",20,7,15.198659998654866,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.4609395941804548, 'e': 0.2252365584492491}",20,8,22.24611195990489,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.4663301982386503, 'e': 0.21509015404327553}",20,2,4.700695178878059,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
53,False,"{'a': 0.4716668962562638, 'e': 0.20529012890414808}",20,12,14.691766170350382,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.4769502272937012, 'e': 0.1958320789404357}",25,17,14.729279731417362,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.48218072502076414, 'e': 0.186711104992732}",20,11,5.508479982929229,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
56,False,"{'a': 0.4873589177705565, 'e': 0.17792185849539274}",35,18,18.223836155202626,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.49248532859285093, 'e': 0.16945858571652175}",20,8,-21.837607843856947,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
58,False,"{'a': 0.49756047530692243, 'e': 0.1613151704815853}",20,9,19.329554979654603,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.5025848705538533, 'e': 0.15348517530115435}",25,13,13.561817487296388,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
